Edad;Gasto Mensual (USD);Compras Mensuales
56;714;24
69;115;3
46;698;13
32;653;7
60;486;25
25;878;24
38;983;3
56;308;15
36;152;29
40;616;18
28;818;29
28;150;10
41;247;23
70;862;7
53;275;9
57;992;5
41;512;20
20;286;8
39;75;14
70;170;4
19;959;20
41;555;28
61;231;14
47;760;12
55;863;2
19;816;13
38;683;1
50;592;20
29;364;7
39;846;28
61;667;25
42;785;9
66;322;28
44;959;26
59;281;17
45;469;21
33;817;23
32;491;13
64;545;23
68;73;10
61;158;16
69;752;6
20;551;16
54;908;11
68;74;26
24;236;20
38;337;3
26;677;28
56;387;29
35;927;9
21;963;15
42;86;28
31;843;13
67;186;10
26;557;20
43;276;24
70;369;13
19;889;17
37;965;7
45;231;28
64;923;6
24;135;13
61;516;28
25;975;17
64;102;15
52;909;4
31;916;28
34;284;15
53;828;14
67;848;21
57;482;11
21;545;24
19;149;4
23;648;3
59;452;2
21;445;20
46;576;27
35;464;10
43;988;30
61;662;13
51;726;20
27;512;29
53;590;26
31;675;21
48;668;29
65;971;23
32;413;25
25;179;18
31;133;21
40;320;16
57;293;11
38;437;10
33;263;9
62;867;12
35;215;30
64;840;29
70;108;19
41;651;1
43;932;18
42;892;14
62;973;22
58;553;21
46;755;1
32;172;17
62;697;11
18;462;20
42;188;28
24;278;15
26;323;4
41;488;15
18;611;22
61;959;22
25;167;26
41;763;14
28;954;22
68;532;1
34;444;26
25;752;9
52;925;27
52;509;7
50;884;23
22;742;11
59;984;23
56;127;2
58;461;2
45;124;6
24;344;23
26;842;19
25;70;29
29;955;20
51;220;14
50;64;28
65;260;3
40;609;7
41;135;7
54;198;4
52;749;29
61;421;23
57;529;5
39;867;17
44;200;26
52;190;4
18;118;23
52;309;13
54;895;16
64;570;16
31;682;2
20;420;18
18;468;1
22;150;18
43;710;26
31;707;30
56;914;8
44;292;11
26;802;24
32;561;24
32;898;15
43;604;16
59;144;17
30;275;17
68;567;12
49;263;10
56;767;20
66;116;6
69;445;8
49;661;13
21;61;2
47;286;29
54;883;19
40;819;22
56;448;10
62;456;4
32;974;12
60;898;18
46;529;7
53;696;20
30;271;24
49;205;24
24;703;23
68;477;26
39;207;25
45;465;4
19;375;7
59;420;10
62;393;26
70;311;15
23;332;12
45;899;1
45;905;20
61;278;18
61;937;25
37;329;16
47;919;5
28;339;19
45;729;4
42;96;6
56;764;26
50;263;17
18;807;7
44;73;24
69;370;23
30;323;7
58;605;9
20;893;13
56;362;20
23;412;14
25;717;16
44;429;23
26;760;9
54;968;15
50;723;5
68;956;18
59;519;21
61;795;20
41;724;8
32;165;15
49;654;21
49;91;25
41;845;9
58;428;19
69;771;29
66;255;26
66;515;22
69;781;6
29;329;4
56;697;11
19;667;29
20;167;10
66;286;3
54;358;1
66;505;12
34;949;23
66;524;15
19;149;15
19;310;21
45;354;14
40;403;26
54;335;7
49;377;17
50;152;24
18;112;19
36;736;7
19;331;28
70;490;3
61;342;30
43;787;3
49;56;26
23;688;25
49;985;29
21;141;18
28;984;30
34;239;20
55;920;22
41;525;14
22;560;3
69;511;28
51;102;26
23;803;30
39;535;26
28;693;7
65;539;7
33;413;5
50;161;3
26;458;18
23;56;15
33;791;20
46;717;14
20;246;29
37;884;4
53;925;27
36;784;24
43;416;8
20;299;29
36;965;21
37;644;13
49;289;22
24;429;8
69;956;15
58;921;17
50;884;5
57;520;20
56;824;4
35;968;11
57;750;18
18;504;10
28;415;17
45;339;30
42;923;15
67;452;6
40;107;23
48;570;21
47;353;16
59;164;15
52;259;8
24;90;9
33;865;11
43;222;27
65;283;2
69;842;27
66;933;13
19;639;4
18;669;27
65;842;9
29;452;5
22;88;19
54;168;22
49;384;3
26;385;30
58;588;21
52;665;3
36;123;6
65;240;28
33;373;10
20;196;5
37;816;30
41;333;25
50;262;3
41;684;22
69;767;24
28;978;7
66;801;22
25;443;30
53;388;18
55;847;23
57;71;8
37;820;1
52;918;25
65;154;4
42;515;24
52;508;26
42;481;7
46;819;14
35;765;13
63;871;10
35;823;23
19;668;18
52;812;1
33;985;4
58;270;28
53;428;16
50;271;16
21;307;18
50;762;8
31;416;10
38;819;16
65;398;23
37;274;24
25;763;11
24;787;6
20;285;1
34;232;30
50;761;29
65;918;29
29;807;12
68;493;25
39;914;6
39;672;28
63;55;13
47;285;26
55;176;17
55;153;1
62;798;8
68;964;22
25;529;8
44;204;24
44;306;11
51;284;14
38;549;24
47;338;10
50;559;15
45;601;7
64;849;7
50;758;10
22;834;4
65;943;25
36;825;28
21;618;18
52;347;27
66;659;25
34;186;10
61;425;19
45;136;14
47;468;13
46;803;15
63;248;16
70;512;2
23;486;29
52;359;4
58;645;21
54;803;18
41;330;29
46;372;17
66;813;10
63;751;27
70;1000;21
48;991;9
52;201;15
50;351;28
69;327;12
38;700;21
49;737;28
40;57;27
50;856;26
20;284;9
35;724;14
42;610;13
59;351;28
48;87;26
20;185;6
57;871;19
63;470;4
41;268;20
67;397;17
49;857;19
64;595;3
39;913;29
40;128;14
19;797;17
44;944;13
59;322;9
19;210;27
43;736;1
34;927;25
57;357;17
50;423;16
26;782;18
60;58;2
65;850;14
56;493;22
46;162;23
59;254;27
43;454;17
52;747;3
67;902;2
42;246;8
41;827;25
30;823;29
24;809;2
53;164;2
62;170;26
37;702;9
18;114;30
25;325;20
63;874;21
33;288;29
31;351;27
29;441;25
68;571;6
40;418;26
32;282;12
45;244;25
51;956;9
19;61;7
49;955;30
40;970;12
39;738;26
68;226;25
42;266;5
39;60;16
39;495;5
66;679;12
69;213;24
59;600;26
23;102;20
32;267;9
60;767;23
54;873;7
50;409;29
25;434;19
70;105;20
61;167;23
61;949;11
22;302;27
56;847;30
21;829;21
23;852;12
62;894;3
49;229;17
69;464;7
47;919;22
64;284;10
52;904;23
57;757;15
69;869;30
33;129;2
30;696;13
67;71;28
59;526;4
47;892;18
36;489;24
34;786;23
36;619;1
45;142;2
43;241;2
54;152;4
43;445;3
70;56;17
40;689;28
26;616;14
29;280;2
70;923;16
18;623;11
18;289;25
64;139;13
51;281;1
49;506;25
65;282;23
42;403;2
57;382;2
62;488;21
70;424;29
18;341;5
33;394;4
56;713;12
22;477;26
39;706;26
46;179;29
20;190;28
29;464;3
43;142;20
33;675;10
68;333;20
54;972;18
39;704;21
46;272;21
31;793;21
45;512;27
22;594;27
64;325;10
66;731;1
47;189;6
63;406;11
69;762;2
22;72;7
29;785;20
33;929;21
43;319;21
43;908;21
65;714;18
38;382;21
56;134;19
53;670;4
50;80;13
47;790;18
54;289;20
40;939;29
27;412;25
22;871;24
53;438;13
51;702;30
69;717;27
48;348;28
27;906;19
36;420;17
49;148;1
18;96;6
22;888;19
62;471;20
21;529;1
33;628;8
41;111;17
33;158;21
19;728;22
66;598;15
45;168;18
49;647;7
44;431;16
37;441;7
41;101;17
29;652;4
67;338;12
52;386;13
50;859;4
50;253;21
68;929;1
60;287;1
54;431;7
29;716;9
20;801;1
18;185;16
50;456;18
57;557;22
27;411;15
60;430;6
61;930;2
46;625;9
30;684;4
29;303;13
48;526;23
63;163;22
19;69;11
68;577;13
67;194;11
52;257;19
40;580;8
34;425;7
43;553;25
25;953;16
46;215;3
43;599;17
27;230;18
43;910;28
51;666;27
68;661;15
58;651;28
24;976;17
21;861;11
70;493;5
67;381;16
62;552;15
28;962;10
46;128;14
53;634;2
42;984;16
38;987;19
53;737;8
27;445;15
54;657;10
26;906;30
41;152;5
52;451;20
66;273;16
52;567;21
65;683;26
53;285;22
35;476;12
66;165;23
56;212;30
49;275;13
41;279;9
40;231;17
49;298;20
54;367;28
29;259;12
66;705;25
30;441;5
40;906;24
42;145;12
52;943;1
58;907;20
47;805;28
34;135;16
66;464;30
37;443;12
65;745;9
42;682;13
39;893;17
30;550;17
36;653;4
66;631;14
53;965;19
29;182;7
58;840;27
36;698;3
29;363;1
26;748;12
24;270;15
45;487;11
31;95;10
48;839;2
69;241;26
36;569;29
64;428;4
33;837;17
70;740;17
22;383;28
52;88;30
29;342;8
42;739;23
69;211;14
38;380;24
53;935;29
70;153;4
40;210;6
33;848;29
56;684;19
62;103;27
70;989;29
59;83;24
56;291;4
31;939;3
48;162;20
22;367;6
52;72;27
40;607;23
46;873;7
60;696;14
28;167;12
35;750;16
64;692;20
29;983;8
26;261;23
27;467;2
61;162;13
34;93;8
55;177;25
24;925;21
63;207;20
30;834;16
57;876;4
59;443;29
26;916;16
67;901;20
44;561;6
19;963;27
22;94;4
46;157;16
54;268;23
55;492;23
36;879;21
25;364;13
65;226;5
62;277;15
18;752;26
39;721;8
69;955;7
34;316;14
24;919;7
42;887;22
62;428;7
21;538;23
53;751;26
23;736;30
48;339;18
36;406;30
61;706;10
56;793;18
44;921;14
27;999;10
43;253;7
36;262;30
56;601;26
20;836;7
62;372;7
30;643;5
67;230;1
45;548;14
37;369;18
45;132;13
25;352;25
58;311;8
56;833;8
18;249;10
20;289;17
30;963;6
45;741;15
66;993;15
42;732;25
50;344;16
55;561;8
70;738;19
23;930;20
61;445;15
62;798;3
49;187;6
62;888;30
64;927;25
38;872;8
33;178;16
38;98;15
28;725;13
54;838;26
53;342;20
52;677;15
36;585;18
37;360;13
35;586;24
64;952;8
58;688;14
66;283;28
31;258;11
32;654;6
48;143;30
18;376;24
70;274;25
20;939;29
33;841;1
40;60;25
28;378;2
29;61;30
27;84;13
49;496;1
33;501;24
25;789;24
55;269;27
29;490;4
41;702;24
45;584;23
70;644;29
25;278;2
45;984;21
53;393;30
43;129;26
25;402;20
67;445;16
45;339;3
