edad;ingresos;genero;ciudad;educacion
56;39464619;Femenino;BARRANQUILLA;Postgrado
69;47607384;Masculino;CALI;Secundaria
46;61407709;Masculino;CARTAGENA;Secundaria
32;33712947;Femenino;SANTA MARTA;Secundaria
60;62728216;Masculino;MANIZALES;Postgrado
25;51114958;Masculino;BUCARAMANGA;Pregrado
38;42309183;Femenino;BOGOTA;Postgrado
56;94671296;Femenino;BARRANQUILLA;Secundaria
36;99531399;Femenino;SANTA MARTA;Postgrado
40;61579550;Femenino;BARRANQUILLA;Postgrado
28;73107417;Femenino;BARRANQUILLA;Postgrado
28;92117308;Femenino;PEREIRA;Secundaria
41;49162808;Femenino;MANIZALES;Pregrado
53;7340513;Masculino;CALI;Pregrado
57;13753905;Masculino;BUCARAMANGA;Secundaria
41;85367865;Masculino;CUCUTA;Secundaria
20;19192432;Masculino;CARTAGENA;Postgrado
39;62504875;Masculino;CARTAGENA;Secundaria
19;11771799;Masculino;MANIZALES;Secundaria
41;57170411;Masculino;BOGOTA;Postgrado
61;91680234;Masculino;CUCUTA;Secundaria
47;64218087;Femenino;CUCUTA;Secundaria
55;74725718;Femenino;BARRANQUILLA;Secundaria
19;17559767;Masculino;MANIZALES;Pregrado
38;28943599;Masculino;BUCARAMANGA;Postgrado
50;69864532;Femenino;BARRANQUILLA;Secundaria
29;20650631;Masculino;CALI;Postgrado
39;63718775;Masculino;BOGOTA;Pregrado
61;97457698;Masculino;BOGOTA;Postgrado
42;39482201;Masculino;PEREIRA;Pregrado
66;34195772;Femenino;CUCUTA;Secundaria
44;3237148;Masculino;CALI;Secundaria
59;88932037;Masculino;CALI;Secundaria
45;73186603;Femenino;MANIZALES;Pregrado
33;16705462;Femenino;MEDELLIN;Postgrado
32;14721988;Masculino;CUCUTA;Pregrado
64;1674515;Femenino;BUCARAMANGA;Secundaria
68;97275759;Femenino;BARRANQUILLA;Secundaria
61;1848088;Masculino;BUCARAMANGA;Secundaria
69;54811033;Femenino;CARTAGENA;Postgrado
20;88212090;Femenino;BOGOTA;Pregrado
54;29541419;Masculino;BOGOTA;Secundaria
68;72415462;Femenino;BUCARAMANGA;Secundaria
24;29438930;Masculino;BARRANQUILLA;Pregrado
38;75696215;Masculino;CUCUTA;Pregrado
26;87620792;Masculino;MANIZALES;Postgrado
56;17369124;Masculino;PEREIRA;Postgrado
35;62395472;Femenino;PEREIRA;Secundaria
21;59557050;Femenino;BUCARAMANGA;Postgrado
42;51444388;Femenino;CUCUTA;Postgrado
31;71210234;Femenino;BARRANQUILLA;Secundaria
67;51484348;Masculino;PEREIRA;Secundaria
26;85931992;Femenino;CUCUTA;Secundaria
43;22773971;Masculino;BARRANQUILLA;Secundaria
19;69452855;Masculino;BOGOTA;Postgrado
37;97189012;Masculino;BARRANQUILLA;Postgrado
45;24130389;Femenino;CUCUTA;Pregrado
64;28275637;Femenino;CUCUTA;Secundaria
24;10365035;Masculino;MANIZALES;Postgrado
61;19398667;Femenino;MEDELLIN;Postgrado
25;43373954;Femenino;SANTA MARTA;Pregrado
64;53437873;Masculino;PEREIRA;Pregrado
52;12426962;Femenino;CUCUTA;Pregrado
31;26672397;Masculino;CARTAGENA;Pregrado
34;16991347;Femenino;BARRANQUILLA;Secundaria
53;76031839;Femenino;PEREIRA;Postgrado
67;58454201;Femenino;CUCUTA;Pregrado
57;20619412;Masculino;CALI;Postgrado
21;68810904;Masculino;BUCARAMANGA;Secundaria
19;77840420;Femenino;BARRANQUILLA;Secundaria
23;25881287;Femenino;CUCUTA;Pregrado
59;23518238;Masculino;CUCUTA;Secundaria
21;70262044;Masculino;BUCARAMANGA;Pregrado
46;8776375;Femenino;PEREIRA;Postgrado
35;17090306;Masculino;CUCUTA;Pregrado
43;26641042;Masculino;MEDELLIN;Secundaria
61;51217626;Femenino;BOGOTA;Pregrado
51;50815932;Masculino;BARRANQUILLA;Postgrado
27;79612212;Femenino;CARTAGENA;Secundaria
53;58462414;Femenino;CARTAGENA;Postgrado
31;56172374;Masculino;SANTA MARTA;Secundaria
48;24899831;Masculino;CARTAGENA;Secundaria
65;80056803;Masculino;BARRANQUILLA;Secundaria
32;9170596;Femenino;CARTAGENA;Pregrado
25;74220375;Femenino;PEREIRA;Postgrado
31;40184939;Masculino;CALI;Postgrado
40;10559092;Femenino;MANIZALES;Pregrado
57;42125340;Femenino;BUCARAMANGA;Secundaria
38;16698901;Femenino;BARRANQUILLA;Secundaria
33;59967459;Femenino;MEDELLIN;Pregrado
62;44243557;Femenino;PEREIRA;Pregrado
35;52200824;Femenino;BUCARAMANGA;Secundaria
64;29871095;Masculino;MANIZALES;Pregrado
41;29938011;Femenino;BARRANQUILLA;Postgrado
43;67018206;Femenino;PEREIRA;Postgrado
42;60287592;Femenino;BUCARAMANGA;Secundaria
62;63994887;Masculino;PEREIRA;Pregrado
58;29755986;Femenino;CALI;Postgrado
46;56550846;Femenino;BARRANQUILLA;Postgrado
32;6108229;Masculino;CARTAGENA;Pregrado
62;20138183;Femenino;BARRANQUILLA;Pregrado
18;70344215;Masculino;CALI;Pregrado
42;11842656;Masculino;CALI;Pregrado
24;49365454;Femenino;BARRANQUILLA;Pregrado
26;12152748;Masculino;CUCUTA;Secundaria
41;30351735;Masculino;BOGOTA;Secundaria
18;24027358;Masculino;MANIZALES;Pregrado
61;35027373;Femenino;CUCUTA;Pregrado
25;77724267;Femenino;BARRANQUILLA;Secundaria
41;19095692;Femenino;CUCUTA;Postgrado
28;17859768;Masculino;PEREIRA;Pregrado
68;39977691;Femenino;BOGOTA;Secundaria
34;69870047;Femenino;SANTA MARTA;Secundaria
25;52792012;Masculino;MEDELLIN;Postgrado
52;56777231;Masculino;PEREIRA;Postgrado
52;21124952;Femenino;CALI;Secundaria
50;39077206;Femenino;SANTA MARTA;Secundaria
22;68080193;Femenino;MEDELLIN;Postgrado
59;90317004;Femenino;CALI;Pregrado
56;46772089;Femenino;CUCUTA;Pregrado
58;67506805;Femenino;MEDELLIN;Pregrado
45;79700743;Masculino;CALI;Secundaria
24;18868469;Femenino;MEDELLIN;Secundaria
26;36402692;Masculino;CARTAGENA;Postgrado
25;88479194;Masculino;BUCARAMANGA;Pregrado
29;3574191;Masculino;CARTAGENA;Postgrado
51;85410566;Femenino;CUCUTA;Pregrado
50;64384559;Femenino;CARTAGENA;Pregrado
65;63243343;Femenino;BARRANQUILLA;Pregrado
40;13640275;Masculino;CARTAGENA;Secundaria
41;89862868;Masculino;PEREIRA;Secundaria
54;10926170;Femenino;PEREIRA;Postgrado
52;97935015;Femenino;CUCUTA;Postgrado
61;22628743;Masculino;SANTA MARTA;Secundaria
57;33098284;Masculino;MEDELLIN;Postgrado
39;27755730;Masculino;SANTA MARTA;Pregrado
44;53690544;Masculino;CALI;Postgrado
52;9735901;Masculino;MANIZALES;Secundaria
18;4508964;Masculino;PEREIRA;Secundaria
52;59083469;Femenino;BOGOTA;Secundaria
54;20880005;Femenino;MEDELLIN;Postgrado
64;33721078;Masculino;MEDELLIN;Postgrado
31;96740466;Femenino;MEDELLIN;Pregrado
20;36317167;Masculino;MANIZALES;Postgrado
