PassengerId;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked;Survived
1;3;Passenger 1;female;33.2;3;3;Ticket 1;13.898.392.995.281.800;E34;C;1
2;1;Passenger 2;female;31.8;2;0;Ticket 2;1.943.948.094.416.680;B12;C;0
3;3;Passenger 3;female;65.0;4;3;Ticket 3;3.045.253.030.073.890;;Q;0
4;3;Passenger 4;male;33.2;1;0;Ticket 4;20.089.369.077.444.000;;S;0
5;1;Passenger 5;female;3.1;3;4;Ticket 5;1.528.427.179.068.370;D56;Q;0
6;1;Passenger 6;female;5.6;0;3;Ticket 6;4.341.358.162.011.030;C85;C;1
7;3;Passenger 7;female;68.6;3;4;Ticket 7;3.746.379.373.600.890;;Q;0
8;2;Passenger 8;male;76.9;1;3;Ticket 8;4.295.939.464.443.580;G7;S;0
9;3;Passenger 9;male;55.4;2;2;Ticket 9;25.001.648.338.266.800;B12;C;1
10;3;Passenger 10;male;29.8;0;0;Ticket 10;6.981.096.980.275.480;E34;S;0
11;3;Passenger 11;male;75.1;0;2;Ticket 11;3.496.296.108.800.290;F33;S;1
12;3;Passenger 12;male;53.4;2;0;Ticket 12;10.700.652.106.890.100;E34;C;1
13;1;Passenger 13;male;67.7;3;1;Ticket 13;2.234.086.862.003.990;D56;S;0
14;3;Passenger 14;male;61.5;4;3;Ticket 14;37.175.390.529.699.800;E34;Q;0
15;2;Passenger 15;female;31.0;3;1;Ticket 15;4.135.276.591.993.760;;S;0
16;1;Passenger 16;female;38.8;1;1;Ticket 16;6.734.061.731.851.270;E34;S;0
17;2;Passenger 17;female;15.7;4;0;Ticket 17;4.520.332.659.894.080;;S;1
18;2;Passenger 18;male;24.1;3;2;Ticket 18;4.327.941.481.194.700;;Q;1
19;2;Passenger 19;male;62.5;2;4;Ticket 19;2.349.684.683.974.260;C85;S;0
20;2;Passenger 20;male;71.6;1;0;Ticket 20;3.734.622.611.304.750;D56;S;0
21;1;Passenger 21;male;58.2;1;4;Ticket 21;3.116.253.115.399.850;G7;Q;0
22;1;Passenger 22;male;37.7;1;1;Ticket 22;4.025.224.429.571.830;G7;C;0
23;2;Passenger 23;female;7.8;4;4;Ticket 23;21.874.352.488.902.600;B12;C;0
24;2;Passenger 24;female;5.5;0;2;Ticket 24;3.939.751.997.009.530;G7;C;0
25;1;Passenger 25;male;30.6;4;0;Ticket 25;23.391.612.444.724.800;;S;0
